brand,model,de_price,uk_price,nl_price,acceleration,top_speed,range,efficiency,fastcharge,towing_capacity,useable_battery,v2l,v2h,v2g,availability,year
NISSAN,ARIYA PLINUM+ E-4ORCE AWD,,,71188,41,200,465,178,650,0,82.7,L,No,No,Available to order since February 2023,2023
NISSAN,LEAF S,50470,,50490,38,180,350,183,520,1600,64.0,No,No,No,Available to order since October 2023,2023
NISSAN,LEAF E+ SV PLUS,37540,31995,38680,97,150,285,162,460,0,46.3,No,No,No,Available to order since November 2022,2023
POLESTAR,2 SINGLE MOTOR,50990,,52485,49,200,350,200,380,750,70.0,L,No,No,Available to order since October 2021,2023
POLESTAR,2 DUAL MOTOR,41100,,,69,157,340,174,240,0,59.0,No,H,G,Available to order since March 2022,2023
POLESTAR,2 DUAL MOTOR PERF PACK,135434,139470,,46,210,485,224,720,1800,108.4,No,No,No,Available to order since December 2022,2023
POLESTAR,2 DUAL MOTOR BST EDITION,56500,57445,59350,56,180,380,170,550,1200,64.7,No,No,No,Available to order since October 2023,2023
POLESTAR,2 DUAL MOTOR BST EDITION,,,74150,44,200,480,208,360,2000,100.0,No,No,No,Available to order since November 2023,2023
PORSCHE,TAYCAN,,,59188,64,200,400,190,840,1500,75.8,L,No,No,Available to order since February 2023,2023
PORSCHE,TAYCAN,72490,64995,67995,94,185,450,213,780,900,96.0,L,H,G,Available to order since June 2023,2023
PORSCHE,TAYCAN,71626,87995,83617,121,160,310,290,310,0,90.0,No,No,No,Available to order since September 2020,2023
PORSCHE,TAYCAN,24550,,23400,137,125,160,156,170,0,25.0,No,No,No,Available to order since January 2023,2023
PORSCHE,TAYCAN GTS,47500,46505,45995,73,180,345,191,420,1500,66.0,No,No,No,Available to order since December 2022,2023
PORSCHE,TAYCAN GTS SPORT TURISMO,52950,,54865,67,180,420,183,630,1200,77.0,No,H,G,Available to order since September 2023,2023
PORSCHE,TAYCAN TURBO,50775,44950,51200,64,205,405,165,480,1500,67.0,No,No,No,Available to order since January 2023,2023
PORSCHE,TAYCAN TURBO S,40490,,39990,85,156,290,193,330,1500,56.0,No,No,No,Available to order since February 2022,2023
PORSCHE,TAYCAN,42000,,36370,100,150,260,154,370,500,40.0,No,No,No,Available to order since April 2022,2023
PORSCHE,TAYCAN,47595,42870,47990,79,160,455,169,680,0,77.0,No,H,G,Available to order since March 2023,2023
PORSCHE,TAYCAN TURBO CROSS TURISMO,159000,,165000,30,270,665,168,840,0,112.0,L,H,G,Available to order since February 2023,2023
PORSCHE,TAYCAN TURBO S CROSS TURISMO,50777,,,86,160,405,164,580,1500,66.5,No,No,No,Available to order since October 2023,2023
RIVIAN,R1S DM AWD STD PACK,44200,38970,44990,87,160,340,171,460,1000,58.0,No,No,No,Available to order since September 2023,2023
RIVIAN,R1S DM AWD STD PACK,47000,,39370,105,150,380,158,530,500,60.0,No,No,No,Available to order since April 2022,2023
RIVIAN,R1S DM AWD LARGE PACK,74400,67800,71385,60,200,425,209,660,1800,89.0,No,No,No,Available to order since December 2022,2023
RIVIAN,R1S DM AWD LARGE PACK,,,69995,65,200,320,239,440,1500,76.5,No,No,No,Available to order since December 2022,2023
RIVIAN,R1S DM AWD LARGE PACK,,,63188,64,200,480,194,1000,1500,93.1,L,No,No,Available to order since February 2023,2023
RIVIAN,R1S DM AWD MAX PACK,33990,30495,35885,86,175,265,185,250,500,49.0,L,No,No,Available to order since November 2021,2023
RIVIAN,R1S DM AWD MAX PACK,82380,73245,78895,53,200,415,231,720,2500,96.0,L,H,G,Available to order since June 2023,2023
RIVIAN,R1S DM AWD MAX PACK,58775,52950,59900,45,205,450,176,670,1500,79.0,No,No,No,Available to order since January 2023,2023
RIVIAN,R1S PERF. DM AWD LARGE PACK,39300,,,126,132,220,205,230,1500,45.0,No,No,No,Available to order since December 2022,2023
RIVIAN,R1S PERF. DM AWD LARGE PACK,110801,,,67,210,500,217,750,750,108.4,No,No,No,Available to order since December 2022,2023
RIVIAN,R1S PERF. DM AWD LARGE PACK,58500,53000,59400,70,180,480,190,420,1500,91.0,No,No,No,Available to order since October 2023,2023
RIVIAN,R1S PERF. DM AWD MAX PACK,41560,35970,43990,74,160,380,197,480,1090,75.0,No,No,No,Available to order since March 2023,2023
RIVIAN,R1S PERF. DM AWD MAX PACK,,57010,,62,180,385,199,550,1200,76.6,No,H,G,Available to order since July 2021,2023
RIVIAN,R1S PERF. DM AWD MAX PACK,88600,79900,89900,50,210,490,218,640,2200,107.0,L,H,G,Available to order since November 2022,2023
RIVIAN,R1S QM AWD LARGE PACK,67187,68810,69928,73,210,525,170,660,750,89.0,No,No,No,Available to order since June 2023,2023
RIVIAN,R1S QM AWD LARGE PACK,92400,69995,95450,48,200,380,223,360,750,84.7,No,No,No,Available to order since January 2023,2023
RIVIAN,R1S QM AWD LARGE PACK,40050,36350,41420,91,150,300,169,480,0,50.8,No,No,No,Available to order since July 2023,2023
RIVIAN,R1T DM AWD STD PACK,51150,48605,,66,180,440,175,660,1000,77.0,No,H,G,Available to order since September 2023,2023
RIVIAN,R1T DM AWD STD PACK,38990,31995,,83,160,260,175,240,0,45.4,No,No,No,Available to order since November 2022,2023
RIVIAN,R1T DM AWD LARGE PACK,38045,35475,37999,81,150,315,153,490,0,48.1,No,No,No,Available to order since July 2023,2023
RIVIAN,R1T DM AWD LARGE PACK,69950,60880,63590,39,205,530,201,630,1820,106.5,No,No,No,Available to order since March 2023,2023
RIVIAN,R1T DM AWD LARGE PACK,89790,,91300,65,200,520,237,520,0,123.0,No,No,No,Availability not found,2023
RIVIAN,R1T DM AWD MAX PACK,63300,54820,63690,55,180,455,169,680,1200,77.0,No,H,G,Available to order since September 2023,2023
RIVIAN,R1T DM AWD MAX PACK,47490,39645,44990,75,160,335,188,450,750,63.0,No,No,No,Available to order since July 2022,2023
RIVIAN,R1T DM AWD MAX PACK,58000,55000,60000,56,180,430,179,640,0,77.0,No,H,G,Availability not found,2023
RIVIAN,R1T PERF. DM AWD LARGE PACK,40335,,43000,90,160,285,182,360,1000,52.0,No,No,No,Available to order since October 2023,2023
RIVIAN,R1T PERF. DM AWD LARGE PACK,36900,34500,38990,67,170,310,158,440,0,49.0,No,No,No,Available to order since November 2023,2023
RIVIAN,R1T PERF. DM AWD LARGE PACK,250000,200000,250000,27,320,425,195,990,0,83.0,No,No,No,Availability not found,2023
RIVIAN,R1T PERF. DM AWD MAX PACK,61400,53605,61495,47,180,400,198,600,1800,79.0,No,No,No,Available to order since December 2022,2023
RIVIAN,R1T PERF. DM AWD MAX PACK,90900,,93900,38,200,505,178,530,2000,90.0,No,No,No,Available to order since October 2022,2023
RIVIAN,R1T PERF. DM AWD MAX PACK,68500,,72900,40,200,485,186,500,1400,90.0,No,No,No,Available to order since July 2023,2023
RIVIAN,R1T QM AWD LARGE PACK,115700,100205,122463,55,205,520,196,780,0,101.7,No,No,No,Available to order since May 2023,2023
RIVIAN,R1T QM AWD LARGE PACK,218000,,222000,27,270,665,177,840,0,118.0,L,H,G,Available to order since January 2022,2023
RIVIAN,R1T QM AWD LARGE PACK,105550,96255,88995,59,180,465,230,610,2200,107.0,L,H,G,Available to order since December 2022,2023
SUBARU,SOLTERRA PREMIUM AWD,,,51188,67,200,495,167,690,0,82.7,L,No,No,Available to order since February 2023,2023
SUBARU,SOLTERRA LIMITED AWD,,,73188,39,200,465,200,970,1500,93.1,L,No,No,Available to order since February 2023,2023
SUBARU,SOLTERRA TOURING AWD,99841,,116755,49,210,455,211,630,1800,96.0,No,No,No,Available to order since October 2023,2023
TESLA,MODEL,150990,120000,154090,29,260,455,240,950,2250,109.0,No,No,No,Available to order since March 2023,2023
TESLA,MODEL,41540,,40680,100,150,330,154,470,0,50.8,No,No,No,Available to order since June 2023,2023
TESLA,MODEL,43490,39995,41499,93,170,300,169,480,0,50.8,No,No,No,Available to order since October 2023,2023
TESLA,MODEL,49020,,,66,180,425,181,630,1200,77.0,No,H,G,Available to order since October 2023,2023
TESLA,MODEL,54450,,52995,73,180,420,188,630,1500,79.0,No,No,No,Available to order since December 2022,2023
TESLA,MODEL S LR AWD,,90560,,66,210,425,209,540,1800,89.0,No,No,No,Available to order since December 2022,2023
TESLA,MODEL S LR AWD,,53905,,78,185,390,190,1020,1600,74.0,L,No,No,Available to order since June 2022,2023
TESLA,MODEL S PLAID,46990,,43495,85,185,305,177,750,750,54.0,L,No,No,Available to order since October 2021,2023
TESLA,MODEL S PLAID,53400,50305,,66,180,470,164,700,1200,77.0,No,H,G,Available to order since September 2023,2023
TESLA,MODEL X LR AWD,52205,50000,52546,86,160,430,164,600,1500,70.5,No,No,No,Available to order since October 2023,2023
TESLA,MODEL X LR AWD,181800,163315,189877,37,250,490,208,730,0,101.7,No,No,No,Available to order since May 2023,2023
TESLA,MODEL X PLAID,32740,28500,32990,80,160,255,176,260,0,44.9,No,No,No,Available to order since July 2023,2023
TESLA,MODEL X PLAID,139906,110200,146663,37,250,450,186,1110,0,83.7,No,No,No,Available to order since February 2022,2023
TESLA,MODEL Y AWD,36775,32400,37770,82,150,310,155,480,0,48.1,No,No,No,Available to order since August 2023,2023
TESLA,MODEL Y AWD,34650,32445,34999,87,150,295,157,470,0,46.3,No,No,No,Available to order since July 2023,2023
TESLA,MODEL Y LONG RANGE AWD,65900,59000,70940,58,180,445,204,390,1500,91.0,No,No,No,Available to order since October 2023,2023
TESLA,MODEL Y LONG RANGE AWD,35490,,35885,77,185,265,174,320,500,46.0,L,No,No,Available to order since June 2022,2023
TESLA,MODEL Y PERF. LR AWD,43500,42080,46000,86,170,380,170,550,0,64.7,No,No,No,Availability not found,2023
TOYOTA,BZ4X XLE FWD,95800,97500,99135,45,210,455,233,570,1800,106.0,No,No,No,Available to order since May 2023,2023
TOYOTA,BZ4X LIMITED FWD,41540,,39840,100,150,330,154,470,0,50.8,No,No,No,Available to order since June 2023,2023
TOYOTA,BZ4X XLE AWD,46950,39045,,79,167,370,173,350,0,64.0,No,No,No,Available to order since September 2022,2023
TOYOTA,BZ4X LIMITED AWD,141705,,,43,210,590,184,880,750,108.4,No,No,No,Available to order since June 2023,2023
VINFAST,VF,59000,,64615,54,180,395,195,590,1400,77.0,No,H,G,Available to order since September 2023,2023
VINFAST,VF,,54510,,60,160,350,190,500,1800,66.5,No,No,No,Available to order since May 2021,2023
VINFAST,VF,53255,53865,62000,54,180,420,183,630,1200,77.0,No,H,G,Available to order since October 2023,2023
VINFAST,VF,94900,,97900,39,200,430,209,450,2000,90.0,No,No,No,Available to order since December 2022,2023
VOLKSWAGEN,ID.4 STANDARD,37000,,38970,99,150,270,171,430,0,46.3,No,No,No,Available to order since August 2023,2023
VOLKSWAGEN,ID.4 S,113359,,116955,56,210,610,178,910,750,108.4,No,No,No,Available to order since June 2023,2023
